nuclide,atoms_initial,atoms_final,delta_atoms
Ce131,0.0,0.0,0.0
Ce131_m1,0.0,0.0,0.0
Ce132,0.0,0.0,0.0
Ce132_m1,0.0,0.0,0.0
Ce133,0.0,0.0,0.0
Ce133_m1,0.0,0.0,0.0
Ce134,0.0,0.0,0.0
Ce135,0.0,0.0,0.0
Ce135_m1,0.0,0.0,0.0
Ce136,0.0,0.0,0.0
Ce137,0.0,0.0,0.0
Ce137_m1,0.0,0.0,0.0
Ce138,0.0,0.0,0.0
Ce138_m1,0.0,0.0,0.0
Ce139,0.0,0.0,0.0
Ce139_m1,0.0,0.0,0.0
Ce140,1.8275979999999997e+22,1.8275979999999986e+22,-10485760.0
Ce141,0.0,0.0,0.0
Ce142,1.6894199999999997e+22,1.6894200000000012e+22,14680064.0
Ce143,0.0,0.0,0.0
Ce144,0.0,0.0,0.0
Ce145,0.0,0.0,0.0
Ce146,0.0,0.0,0.0
Ce147,0.0,0.0,0.0
Ce148,0.0,0.0,0.0
Ce149,0.0,0.0,0.0
Ce150,0.0,0.0,0.0
Ce151,0.0,0.0,0.0
Ce152,0.0,0.0,0.0
Ce153,0.0,0.0,0.0
Ce154,0.0,0.0,0.0
Ce155,0.0,0.0,0.0
Ce156,0.0,0.0,0.0
Ce157,0.0,0.0,0.0
Cf237,0.0,0.0,0.0
Cf238,0.0,0.0,0.0
Cf239,0.0,0.0,0.0
Cf240,0.0,0.0,0.0
Cf241,0.0,0.0,0.0
Cf242,0.0,0.0,0.0
Cf243,0.0,0.0,0.0
Cf244,0.0,0.0,0.0
Cf245,0.0,0.000136804982099109,0.000136804982099109
Cf246,0.0,0.0,0.0
Cf247,0.0,0.0,0.0
Cf248,0.0,0.0,0.0
Cf249,0.0,164.06288061486285,164.06288061486285
Cf250,0.0,0.0,0.0
Cf251,0.0,0.0,0.0
Cf252,0.0,0.0,0.0
Cf253,0.0,0.0,0.0
Cf254,0.0,0.0,0.0
Cf255,0.0,0.0,0.0
Cf256,0.0,0.0,0.0
Cl28,0.0,0.0,0.0
Cl29,0.0,0.0,0.0
Cl30,0.0,0.0,0.0
Cl31,0.0,0.0,0.0
Cl32,0.0,0.0,0.0
Cl33,0.0,0.0,0.0
Cl34,0.0,0.0,0.0
Cl34_m1,0.0,0.0,0.0
Cl35,0.0,0.0,0.0
Cl36,0.0,0.0,0.0
Cl37,0.0,0.0,0.0
Cl38,0.0,0.0,0.0
Cl38_m1,0.0,0.0,0.0
Cl39,0.0,0.0,0.0
Cl40,0.0,0.0,0.0
Cl41,0.0,0.0,0.0
Cl42,0.0,0.0,0.0
Cl43,0.0,0.0,0.0
Cl44,0.0,0.0,0.0
Cl45,0.0,0.0,0.0
Cl46,0.0,0.0,0.0
Cl47,0.0,0.0,0.0
Cl48,0.0,0.0,0.0
Cl49,0.0,0.0,0.0
Cl50,0.0,0.0,0.0
Cl51,0.0,0.0,0.0
Cm233,0.0,0.0,0.0
Cm234,0.0,0.0,0.0
Cm235,0.0,0.0,0.0
Cm236,0.0,0.0,0.0
Cm237,0.0,0.0,0.0
Cm238,0.0,0.0,0.0
Cm239,0.0,0.0,0.0
Cm240,0.0,0.0,0.0
Cm241,0.0,45.45162551102134,45.45162551102134
Cm242,2.4464549999999996e+16,5265294579477946.0,-1.919925542052205e+16
Cm243,303737999999999.94,296593436862280.2,-7144563137719.75
Cm244,56193559999999.99,54084851042687.16,-2108708957312.836
Cm244_m1,0.0,0.0,0.0
Cm245,409777100000.0,409743708493.2309,-33391506.769104004
Cm246,0.0,0.0,0.0
Cm247,0.0,0.0,0.0
Cm248,0.0,0.0,0.0
Cm249,0.0,0.0,0.0
Cm250,0.0,0.0,0.0
Cm251,0.0,0.0,0.0
Co49,0.0,0.0,0.0
Co50,0.0,0.0,0.0
Co51,0.0,0.0,0.0
Co52,0.0,0.0,0.0
Co53,0.0,0.0,0.0
Co53_m1,0.0,0.0,0.0
Co54,0.0,0.0,0.0
Co54_m1,0.0,0.0,0.0
Co55,0.0,0.0,0.0
Co56,0.0,0.0,0.0
Co57,0.0,0.0,0.0
Co58,0.0,0.0,0.0
Co58_m1,0.0,0.0,0.0
Co59,0.0,0.0,0.0
Co60,0.0,0.0,0.0
Co60_m1,0.0,0.0,0.0
Co61,0.0,0.0,0.0
Co62,0.0,0.0,0.0
Co62_m1,0.0,0.0,0.0
Co63,0.0,0.0,0.0
Co64,0.0,0.0,0.0
Co65,0.0,0.0,0.0
Co66,0.0,0.0,0.0
Co67,0.0,0.0,0.0
Co68,0.0,0.0,0.0
Co68_m1,0.0,0.0,0.0
Co69,0.0,0.0,0.0
Co70,0.0,0.0,0.0
Co70_m1,0.0,0.0,0.0
Co71,0.0,0.0,0.0
Co72,0.0,0.0,0.0
Co73,0.0,0.0,0.0
Co74,0.0,0.0,0.0
Co75,0.0,0.0,0.0
Cr42,0.0,0.0,0.0
Cr43,0.0,0.0,0.0
Cr44,0.0,0.0,0.0
Cr45,0.0,0.0,0.0
Cr46,0.0,0.0,0.0
Cr47,0.0,0.0,0.0
Cr48,0.0,0.0,0.0
Cr49,0.0,0.0,0.0
Cr50,0.0,0.0,0.0
Cr51,0.0,0.0,0.0
Cr52,0.0,0.0,0.0
Cr53,0.0,0.0,0.0
Cr54,0.0,0.0,0.0
Cr55,0.0,0.0,0.0
Cr56,0.0,0.0,0.0
Cr57,0.0,0.0,0.0
Cr58,0.0,0.0,0.0
Cr59,0.0,0.0,0.0
Cr60,0.0,0.0,0.0
Cr61,0.0,0.0,0.0
Cr62,0.0,0.0,0.0
Cr63,0.0,0.0,0.0
Cr64,0.0,0.0,0.0
Cr65,0.0,0.0,0.0
Cr66,0.0,0.0,0.0
Cr67,0.0,0.0,0.0
Cs112,0.0,0.0,0.0
Cs113,0.0,0.0,0.0
Cs114,0.0,0.0,0.0
Cs115,0.0,0.0,0.0
Cs116,0.0,0.0,0.0
Cs116_m1,0.0,0.0,0.0
Cs117,0.0,0.0,0.0
Cs117_m1,0.0,0.0,0.0
