nuclide,atoms
In118,5.145074e+12
Y101,4.945815e+12
Se74,4.788455e+12
Rb86_m1,4.661485e+12
Te138,4.646687e+12
Ga75,4.481898e+12
Sb122_m1,4.091594e+12
As86,4.019335e+12
In123,3.894349e+12
Ni66,3.803752e+12
Eu161,3.670923e+12
Cd122,3.506754e+12
Pd117,3.390287e+12
Rh114,3.016273e+12
Tc110,3.013842e+12
In127_m1,2.935456e+12
Cd121_m1,2.910216e+12
In120,2.908724e+12
Ag118,2.795960e+12
Te121,2.675584e+12
Cs131,2.606004e+12
Br91,2.585863e+12
Pm158,2.551353e+12
Rh102_m1,2.546781e+12
Pr154,2.525182e+12
Ho163,2.459488e+12
Ga76,2.404277e+12
Ce152,2.367467e+12
Cs145,2.345935e+12
Tb164,2.086258e+12
Sm160,2.039050e+12
Ga77,1.982780e+12
In124,1.973370e+12
Gd163,1.931212e+12
Zn71_m1,1.902409e+12
In122_m2,1.864701e+12
Bk250,1.862311e+12
Ne20,1.844389e+12
Pd107_m1,1.795024e+12
In122_m1,1.778373e+12
Ge83,1.724272e+12
Ag116_m1,1.704034e+12
In124_m1,1.689280e+12
Th228,1.684030e+12
Sr99,1.666436e+12
Sb124_m2,1.553349e+12
B11,1.551822e+12
Rb96,1.537443e+12
Y102,1.433841e+12
Rh110,1.430206e+12
Ga78,1.346545e+12
Er171,1.343774e+12
Ag119,1.325248e+12
Zn74,1.292666e+12
In125,1.285083e+12
Xe134_m1,1.275249e+12
Ru113,1.267885e+12
In122,1.262828e+12
La150,1.163612e+12
Ag117_m1,1.149171e+12
Pr140,1.138849e+12
In120_m2,1.133425e+12
Br80_m1,1.128296e+12
In127,1.116926e+12
Cm249,1.113767e+12
In120_m1,1.107066e+12
Sb136,1.095210e+12
Nd141,1.093320e+12
Zr105,1.057696e+12
Sn134,1.001308e+12
Pb208,1.000986e+12
Zn69,9.050590e+11
Ga79,8.903147e+11
Mo109,8.803476e+11
Ba148,8.726140e+11
In128,8.528507e+11
Th229,8.490026e+11
Kr94,8.432351e+11
Xe143,8.412587e+11
In126,8.084127e+11
In126_m1,7.909998e+11
Pd118,7.696988e+11
Lu175,7.516713e+11
Rh115,7.447327e+11
Cd123,7.190476e+11
In128_m1,7.175093e+11
Se89,6.972160e+11
In129_m1,6.869570e+11
Tc97_m1,6.761532e+11
As74,6.742791e+11
Xe144,6.699029e+11
I141,6.518825e+11
Ag118_m1,6.416731e+11
Se75,6.321643e+11
N16,5.993403e+11
Tb165,5.712689e+11
Nd157,5.406397e+11
Ge84,4.987332e+11
Sn112,4.766953e+11
Pa232,4.360006e+11
Ge81_m1,4.303903e+11
Ag115_m1,4.296189e+11
Ge77_m1,4.283388e+11
Eu162,4.255300e+11
Cf253,4.229091e+11
Gd164,4.156567e+11
Br92,3.881352e+11
Nb107,3.876810e+11
Ba136_m1,3.644539e+11
Es253,3.593080e+11
In129,3.575368e+11
Ga80,3.499645e+11
Ce153,3.472849e+11
Dy167,3.308658e+11
Br80,3.264156e+11
Sb120_m1,3.190552e+11
Sr100,3.178586e+11
Th231,3.114069e+11
Ge86,3.107834e+11
Ag120,3.106908e+11
Ru114,3.088015e+11
Sb126_m2,3.087417e+11
As87,2.799781e+11
Sm161,2.532216e+11
Sb137,2.463029e+11
In130,2.443861e+11
I125,2.384043e+11
Sb124_m1,2.383856e+11
Zn75,2.259777e+11
Cd124,2.199103e+11
Pr155,2.185414e+11
Rh116,2.171580e+11
Te139,2.147670e+11
Cs146,2.145188e+11
Ni64,2.101436e+11
Dy168,2.097778e+11
Th233,2.050777e+11
Pu246,2.020114e+11
Pm159,1.982611e+11
Tc111,1.924558e+11
In130_m1,1.905699e+11
In130_m2,1.905699e+11
Zn76,1.891181e+11
La151,1.813755e+11
Ga81,1.661619e+11
Rb97,1.525402e+11
Zn73,1.515333e+11
Ag121,1.355556e+11
Y103,1.349048e+11
Pd119,1.319432e+11
Zn71,1.285248e+11
Y89_m1,1.242443e+11
Ge75_m1,1.157143e+11
Dy158,1.130769e+11
In118_m1,1.103146e+11
Nb91,1.069252e+11
Ru115,1.009666e+11
Pa234,9.815270e+10
Np236_m1,9.794992e+10
In131_m1,9.276049e+10
Se90,8.717921e+10
Hf176,8.399502e+10
Zn77,8.209212e+10
Eu163,8.194841e+10
In131,8.079640e+10
As88,7.923120e+10
Pa235,7.804141e+10
Ag108,7.790145e+10
Te121_m1,7.671293e+10
Ho168,7.560242e+10
Ge71,7.521521e+10
Mo110,7.493010e+10
Ba149,7.477948e+10
Cd130,7.400859e+10
Zn69_m1,7.267419e+10
In114,7.085223e+10
Nd158,6.927479e+10
In132,6.732451e+10
Kr95,6.678622e+10
I142,6.451547e+10
Ge85,6.434553e+10
Ba133_m1,6.431507e+10
Zn78,6.294086e+10
Ho169,5.211603e+10
Tb166,5.119435e+10
Te140,5.015919e+10
Nb94_m1,4.993264e+10
Ga82,4.832463e+10
Np241,4.747226e+10
Cd125,4.643278e+10
Ag120_m1,4.526761e+10
Cu69,4.519929e+10
Rh117,4.383245e+10
Sn135,4.329846e+10
Rb98,4.204451e+10
Tc112,3.890285e+10
Kr96,3.883669e+10
Tm168,3.877455e+10
Eu152_m1,3.803453e+10
Br93,3.709016e+10
Cf254,3.538503e+10
Ce154,3.475477e+10
Er165,3.368368e+10
Pm160,3.323651e+10
Pr156,3.003605e+10
Pd120,2.939577e+10
Nb108,2.683917e+10
Gd165,2.654894e+10
Sr101,2.593615e+10
Zn79,2.383808e+10
Cd126,2.370695e+10
Sn113,2.310267e+10
Cu70,2.210891e+10
Hf177,2.204753e+10
Hf178,2.195006e+10
Th235,2.182757e+10
Cs147,2.094645e+10
Sm162,1.987576e+10
Se91,1.981441e+10
As73,1.915750e+10
Te120,1.771263e+10
Sb120,1.770586e+10
Ni63,1.765630e+10
Gd151,1.740212e+10
Yb175,1.724389e+10
O19,1.717764e+10
U241,1.707634e+10
Ag122,1.697923e+10
Y87,1.646995e+10
Cu71,1.643603e+10
Cd127,1.632358e+10
Se77_m1,1.616655e+10
Cm240,1.585701e+10
In116_m1,1.466966e+10
Am239,1.461212e+10
Pa238,1.425939e+10
Mo111,1.269815e+10
Ga74_m1,1.261304e+10
Ho170,1.258972e+10
Tb167,1.245923e+10
Y104,1.243303e+10
La152,1.238475e+10
Ga70,1.177587e+10
Cu72,1.093577e+10
Cu73,1.070355e+10
Cm250,1.027126e+10
Xe145,1.024326e+10
Lu176,9.656920e+09
Rb100,9.398902e+09
Zr106,9.354415e+09
Ra224,8.791158e+09
Li7,8.658494e+09
Hf179,8.273120e+09
I143,8.246573e+09
Tb156,7.502333e+09
Rh118,7.028183e+09
Ba150,6.811065e+09
Yb169,6.743672e+09
Eu152_m2,6.536008e+09
Dy169,6.262661e+09
Ag122_m1,6.087528e+09
Ag123,6.065585e+09
Cu66,5.955911e+09
Ho164,5.895514e+09
Br94,5.822450e+09
Yb176,5.756900e+09
Tc113,5.501670e+09
Cd128,5.304165e+09
Er167_m1,5.285042e+09
Eu164,5.230916e+09
Cu70_m1,5.194235e+09
Ga84,5.131794e+09
In133,5.079349e+09
Ga83,4.981821e+09
Ru116,4.905373e+09
Cd131,4.882028e+09
Es254,4.419981e+09
Cu68,4.412592e+09
Te141,4.390129e+09
Gd166,4.234313e+09
Cu74,4.171708e+09
Nd159,4.161974e+09
Ni68,4.003288e+09
Sb119,3.815184e+09
Es254_m1,3.472393e+09
Rb99,3.414959e+09
Ge73_m1,3.402470e+09
Bk248,3.346407e+09
Zn80,3.178666e+09
Ac227,3.035872e+09
Pr157,2.912449e+09
Sb138,2.717584e+09
Eu149,2.693089e+09
Pa234_m1,2.638389e+09
Pd121,2.633939e+09
Cu75,2.584336e+09
Pm161,2.567113e+09
Ni69,2.556990e+09
Mo112,2.345537e+09
B10,2.240664e+09
Ni70,2.217686e+09
Kr97,2.196608e+09
C15,2.179659e+09
Ho171,2.158059e+09
Nb109,2.098196e+09
Dy170,2.002231e+09
Ce155,1.943802e+09
Ni67,1.897341e+09
Tb168,1.848551e+09
H3,1.841822e+09
Sm163,1.826095e+09
Ge87,1.785577e+09
In118_m2,1.768323e+09
Sr102,1.727848e+09
Tc114,1.592622e+09
Pm144,1.588052e+09
Lu177,1.481156e+09
Cs148,1.428382e+09
Xe146,1.383333e+09
Sn136,1.373876e+09
Cf248,1.273571e+09
Ra226,1.250233e+09
Y105,1.179418e+09
Ag124,1.161930e+09
Ho172,1.113469e+09
Pb212,1.064402e+09
La153,9.238445e+08
Ba151,9.215493e+08
Zn65,8.955081e+08
Sr85_m1,8.870773e+08
Rh101_m1,8.417345e+08
Rh119,8.274159e+08
Ni71,8.188056e+08
Be9,8.148216e+08
Hf180,8.115559e+08
Cu76,8.063078e+08
As89,8.047272e+08
Pb210,7.961275e+08
Ba131,7.444764e+08
Ni65,7.437165e+08
Zr88,7.108581e+08
Se92,7.016579e+08
Eu165,6.921730e+08
La135,6.896461e+08
Cu68_m1,6.855405e+08
Gd167,6.202111e+08
Ho164_m1,6.026338e+08
Ni72,5.233949e+08
O15,4.665919e+08
Kr98,4.322476e+08
Zn81,4.233484e+08
Tb155,4.205229e+08
Pb207,4.035369e+08
Ho170_m1,3.992117e+08
Bi209,3.883241e+08
Cu77,3.840136e+08
Ru117,3.740709e+08
Am246_m1,3.235188e+08
Pd122,2.902421e+08
Ce139_m1,2.880388e+08
Es255,2.815635e+08
Fm254,2.803086e+08
Pr139,2.728376e+08
In134,2.631120e+08
