r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
1.49437344e+02,1.49187344e+02,2.69414847e-04,3.71669412e-06,0.00000000e+00,0.00000000e+00,3.35334494e-05,1.82937793e-06,0.00000000e+00,0.00000000e+00,2.03442875e-01,2.12670582e-03,1.32288913e+03,1.78103203e+01,3.02948298e-04,4.45003815e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.49537369e+02,1.49287369e+02,2.71184226e-04,3.90562155e-06,0.00000000e+00,0.00000000e+00,3.30572839e-05,1.90071597e-06,0.00000000e+00,0.00000000e+00,2.03839577e-01,2.12122794e-03,1.33116471e+03,1.86847194e+01,3.04241511e-04,4.37701274e-06,0.00000000e+00,0.00000000e+00,4.23588000e+00,1.47837080e-02
1.49637394e+02,1.49387394e+02,2.70867293e-04,4.23013081e-06,0.00000000e+00,0.00000000e+00,3.53215973e-05,2.94841590e-06,0.00000000e+00,0.00000000e+00,2.02538627e-01,2.21682886e-03,1.32978457e+03,2.02605095e+01,3.06188892e-04,5.07775646e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.49737419e+02,1.49487419e+02,2.69930687e-04,3.93905347e-06,0.00000000e+00,0.00000000e+00,3.28512840e-05,1.48189386e-06,0.00000000e+00,0.00000000e+00,2.02493818e-01,2.15238730e-03,1.32567525e+03,1.88609278e+01,3.02781973e-04,4.20909105e-06,0.00000000e+00,0.00000000e+00,4.22745000e+00,1.46506890e-02
1.49837444e+02,1.49587444e+02,2.70777380e-04,3.97839042e-06,0.00000000e+00,0.00000000e+00,3.40247380e-05,2.15905430e-06,0.00000000e+00,0.00000000e+00,2.02285480e-01,2.13553164e-03,1.32974171e+03,1.90289484e+01,3.04802120e-04,4.86425127e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.49937469e+02,1.49687469e+02,2.69740095e-04,4.17032588e-06,0.00000000e+00,0.00000000e+00,3.50554623e-05,2.11405409e-06,0.00000000e+00,0.00000000e+00,2.01736694e-01,2.16930751e-03,1.32433576e+03,1.99311951e+01,3.04795559e-04,5.06586754e-06,0.00000000e+00,0.00000000e+00,4.21971000e+00,1.45850916e-02
1.50037494e+02,1.49787494e+02,2.69810512e-04,4.16488856e-06,0.00000000e+00,0.00000000e+00,3.51200237e-05,2.31274443e-06,0.00000000e+00,0.00000000e+00,2.01395693e-01,2.27201394e-03,1.32469061e+03,1.99375511e+01,3.04930538e-04,5.15152401e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50137519e+02,1.49887519e+02,2.66547669e-04,3.83519101e-06,0.00000000e+00,0.00000000e+00,3.27872098e-05,1.95970449e-06,0.00000000e+00,0.00000000e+00,1.99791483e-01,2.18916485e-03,1.30884347e+03,1.83790787e+01,2.99334880e-04,4.47698043e-06,0.00000000e+00,0.00000000e+00,4.21211000e+00,1.47304181e-02
1.50237544e+02,1.49987544e+02,2.65818878e-04,3.74389456e-06,0.00000000e+00,0.00000000e+00,4.00389831e-05,7.67842560e-06,0.00000000e+00,0.00000000e+00,1.98959480e-01,2.16672656e-03,1.30531145e+03,1.79162501e+01,3.05857863e-04,8.16390778e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50337569e+02,1.50087569e+02,2.63921746e-04,3.86404493e-06,0.00000000e+00,0.00000000e+00,3.22452960e-05,1.72646763e-06,0.00000000e+00,0.00000000e+00,1.98560576e-01,2.26277699e-03,1.29617887e+03,1.85312686e+01,2.96167044e-04,4.34399220e-06,0.00000000e+00,0.00000000e+00,4.20572000e+00,1.46219291e-02
1.50437594e+02,1.50187594e+02,2.62463014e-04,3.83735184e-06,0.00000000e+00,0.00000000e+00,3.17023725e-05,1.71135761e-06,0.00000000e+00,0.00000000e+00,1.97811088e-01,2.37936188e-03,1.28923004e+03,1.84587081e+01,2.94165389e-04,4.40925046e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50537619e+02,1.50287619e+02,2.62918999e-04,3.97190833e-06,0.00000000e+00,0.00000000e+00,3.23765706e-05,1.77344868e-06,0.00000000e+00,0.00000000e+00,1.98162958e-01,2.28991825e-03,1.29103041e+03,1.90670963e+01,2.95295571e-04,4.46076702e-06,0.00000000e+00,0.00000000e+00,4.19743000e+00,1.46059431e-02
1.50637644e+02,1.50387644e+02,2.64152221e-04,3.96281699e-06,0.00000000e+00,0.00000000e+00,3.27902402e-05,1.91240288e-06,0.00000000e+00,0.00000000e+00,1.96836409e-01,2.12686833e-03,1.29678470e+03,1.89441104e+01,2.96942463e-04,4.17955229e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50737669e+02,1.50487669e+02,2.61885436e-04,3.72247339e-06,0.00000000e+00,0.00000000e+00,3.82421381e-05,3.82402101e-06,0.00000000e+00,0.00000000e+00,1.96054811e-01,2.19960778e-03,1.28602131e+03,1.77852605e+01,3.00127576e-04,5.42568232e-06,0.00000000e+00,0.00000000e+00,4.18778000e+00,1.43399458e-02
1.50837694e+02,1.50587694e+02,2.59433168e-04,3.87035654e-06,0.00000000e+00,0.00000000e+00,3.46831356e-05,3.05786334e-06,0.00000000e+00,0.00000000e+00,1.94149163e-01,2.10180023e-03,1.27373728e+03,1.85153335e+01,2.94116305e-04,4.72138257e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50937719e+02,1.50687719e+02,2.59109023e-04,3.77922020e-06,0.00000000e+00,0.00000000e+00,3.62626529e-05,2.28730568e-06,0.00000000e+00,0.00000000e+00,1.94556139e-01,2.07924807e-03,1.27260381e+03,1.81406476e+01,2.95371677e-04,4.57636558e-06,0.00000000e+00,0.00000000e+00,4.18000000e+00,1.39925806e-02
1.51037744e+02,1.50787744e+02,2.59941288e-04,3.92968923e-06,0.00000000e+00,0.00000000e+00,3.55396069e-05,2.54255565e-06,0.00000000e+00,0.00000000e+00,1.94182277e-01,2.11288237e-03,1.27611925e+03,1.88565170e+01,2.95480896e-04,4.70179790e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.51137769e+02,1.50887769e+02,2.58402676e-04,4.05455938e-06,0.00000000e+00,0.00000000e+00,3.25684081e-05,1.87696736e-06,0.00000000e+00,0.00000000e+00,1.93248740e-01,2.24329873e-03,1.26833528e+03,1.94529415e+01,2.90971085e-04,4.56352650e-06,0.00000000e+00,0.00000000e+00,4.17036000e+00,1.39457353e-02
1.51237794e+02,1.50987794e+02,2.57274388e-04,3.80119398e-06,0.00000000e+00,0.00000000e+00,3.24954301e-05,1.91018783e-06,0.00000000e+00,0.00000000e+00,1.93187557e-01,2.16421248e-03,1.26312089e+03,1.82546728e+01,2.89769820e-04,4.35178268e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.51337819e+02,1.51087819e+02,2.57054873e-04,3.93529617e-06,0.00000000e+00,0.00000000e+00,3.01256940e-05,1.54993108e-06,0.00000000e+00,0.00000000e+00,1.92509786e-01,2.11632625e-03,1.26163756e+03,1.88806252e+01,2.87180568e-04,4.34854369e-06,0.00000000e+00,0.00000000e+00,4.16187000e+00,1.40660392e-02
1.51437844e+02,1.51187844e+02,2.56730388e-04,4.05622087e-06,0.00000000e+00,0.00000000e+00,2.98615940e-05,1.53441652e-06,0.00000000e+00,0.00000000e+00,1.92365771e-01,2.10008471e-03,1.25988551e+03,1.94966887e+01,2.86591984e-04,4.29405757e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.51537869e+02,1.51287869e+02,2.56892054e-04,3.88827036e-06,0.00000000e+00,0.00000000e+00,3.03158812e-05,1.56690633e-06,0.00000000e+00,0.00000000e+00,1.91696701e-01,2.10563143e-03,1.26053609e+03,1.86934453e+01,2.87207937e-04,4.05315263e-06,0.00000000e+00,0.00000000e+00,4.15495000e+00,1.41574932e-02
1.51637894e+02,1.51387894e+02,2.55297563e-04,3.61386256e-06,0.00000000e+00,0.00000000e+00,2.97629177e-05,1.43599376e-06,0.00000000e+00,0.00000000e+00,1.90687125e-01,2.05257084e-03,1.25255290e+03,1.73264747e+01,2.85060482e-04,3.80106550e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.51737919e+02,1.51487919e+02,2.56445529e-04,3.67235042e-06,0.00000000e+00,0.00000000e+00,2.99133828e-05,1.42373582e-06,0.00000000e+00,0.00000000e+00,1.91233477e-01,2.05540593e-03,1.25799796e+03,1.76023714e+01,2.86358914e-04,3.98846551e-06,0.00000000e+00,0.00000000e+00,4.14653000e+00,1.40250456e-02
1.51837944e+02,1.51587944e+02,2.55602824e-04,3.98314464e-06,0.00000000e+00,0.00000000e+00,3.26095441e-05,2.25333095e-06,0.00000000e+00,0.00000000e+00,1.90445548e-01,2.18494474e-03,1.25399884e+03,1.90871511e+01,2.88212370e-04,4.82531499e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.51937969e+02,1.51687969e+02,2.52276189e-04,3.72030338e-06,0.00000000e+00,0.00000000e+00,3.38075701e-05,2.30400000e-06,0.00000000e+00,0.00000000e+00,1.88320317e-01,2.19198224e-03,1.23753024e+03,1.78125638e+01,2.86083761e-04,4.44056905e-06,0.00000000e+00,0.00000000e+00,4.13887000e+00,1.38895907e-02
1.52037994e+02,1.51787994e+02,2.52527885e-04,3.95771970e-06,0.00000000e+00,0.00000000e+00,3.41773135e-05,2.47735376e-06,0.00000000e+00,0.00000000e+00,1.87954649e-01,2.17079851e-03,1.23866271e+03,1.89976905e+01,2.86705201e-04,4.85445431e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.52138020e+02,1.51888020e+02,2.51042639e-04,3.80136173e-06,0.00000000e+00,0.00000000e+00,3.37423763e-05,2.88048428e-06,0.00000000e+00,0.00000000e+00,1.86572241e-01,2.13614501e-03,1.23145906e+03,1.82660070e+01,2.84785017e-04,4.85842764e-06,0.00000000e+00,0.00000000e+00,4.13040000e+00,1.39718256e-02
1.52238045e+02,1.51988045e+02,2.51368562e-04,3.70697865e-06,0.00000000e+00,0.00000000e+00,3.43208036e-05,3.43709771e-06,0.00000000e+00,0.00000000e+00,1.86668339e-01,2.15194720e-03,1.23302624e+03,1.78139979e+01,2.85689367e-04,5.11881923e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.52338070e+02,1.52088070e+02,2.47812930e-04,3.60432614e-06,0.00000000e+00,0.00000000e+00,4.47945882e-05,1.22559855e-05,0.00000000e+00,0.00000000e+00,1.85200354e-01,2.17805221e-03,1.21583592e+03,1.73213281e+01,2.92607520e-04,1.31224564e-05,0.00000000e+00,0.00000000e+00,4.12163000e+00,1.39628556e-02
1.52438095e+02,1.52188095e+02,2.48243744e-04,3.63182880e-06,0.00000000e+00,0.00000000e+00,3.46005156e-05,4.12200878e-06,0.00000000e+00,0.00000000e+00,1.85278186e-01,2.18423600e-03,1.21794824e+03,1.75104256e+01,2.82844261e-04,5.76638527e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.52538120e+02,1.52288120e+02,2.47322541e-04,3.58018230e-06,0.00000000e+00,0.00000000e+00,3.00984789e-05,1.65698234e-06,0.00000000e+00,0.00000000e+00,1.85385165e-01,2.13701122e-03,1.21429288e+03,1.72622316e+01,2.77421022e-04,4.26412737e-06,0.00000000e+00,0.00000000e+00,4.11328000e+00,1.41884363e-02
1.52638145e+02,1.52388145e+02,2.46332288e-04,3.61282959e-06,0.00000000e+00,0.00000000e+00,3.03861512e-05,1.62173645e-06,0.00000000e+00,0.00000000e+00,1.84770531e-01,2.08524887e-03,1.20911549e+03,1.74258509e+01,2.76718441e-04,4.22618286e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.52738170e+02,1.52488170e+02,2.42818772e-04,3.41433098e-06,0.00000000e+00,0.00000000e+00,2.98554006e-05,1.56999407e-06,0.00000000e+00,0.00000000e+00,1.82032019e-01,2.08951916e-03,1.19162014e+03,1.64874897e+01,2.72674174e-04,3.96382824e-06,0.00000000e+00,0.00000000e+00,4.10397000e+00,1.42720636e-02
1.52838195e+02,1.52588195e+02,2.43463182e-04,3.46701827e-06,0.00000000e+00,0.00000000e+00,2.89622578e-05,1.79281216e-06,0.00000000e+00,0.00000000e+00,1.81643342e-01,2.08959763e-03,1.19479348e+03,1.67472059e+01,2.72425441e-04,4.25061397e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.52938220e+02,1.52688220e+02,2.43664280e-04,3.84536103e-06,0.00000000e+00,0.00000000e+00,2.71505268e-05,1.39768374e-06,0.00000000e+00,0.00000000e+00,1.81747933e-01,2.11642867e-03,1.19531151e+03,1.85883811e+01,2.70814808e-04,4.37293985e-06,0.00000000e+00,0.00000000e+00,4.09648000e+00,1.40489292e-02
1.53038245e+02,1.52788245e+02,2.43587745e-04,3.50954063e-06,0.00000000e+00,0.00000000e+00,2.76515463e-05,1.30534620e-06,0.00000000e+00,0.00000000e+00,1.81012281e-01,1.99332953e-03,1.19438993e+03,1.69309053e+01,2.71239293e-04,3.94456876e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.53138270e+02,1.52888270e+02,2.40726051e-04,3.47219171e-06,0.00000000e+00,0.00000000e+00,2.85376763e-05,1.39701411e-06,0.00000000e+00,0.00000000e+00,1.79560095e-01,1.97098870e-03,1.18057758e+03,1.67273701e+01,2.69263729e-04,4.07613133e-06,0.00000000e+00,0.00000000e+00,4.08757000e+00,1.40102647e-02
1.53238295e+02,1.52988295e+02,2.38698024e-04,3.56733473e-06,0.00000000e+00,0.00000000e+00,3.05144807e-05,1.93528802e-06,0.00000000e+00,0.00000000e+00,1.78673303e-01,1.99581477e-03,1.17088642e+03,1.71292113e+01,2.69212506e-04,4.53034920e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.53338320e+02,1.53088320e+02,2.38214442e-04,4.02697656e-06,0.00000000e+00,0.00000000e+00,3.00098003e-05,1.61157561e-06,0.00000000e+00,0.00000000e+00,1.77681047e-01,2.10061589e-03,1.16798745e+03,1.92787183e+01,2.68224244e-04,4.62939299e-06,0.00000000e+00,0.00000000e+00,4.07883000e+00,1.39429068e-02
1.53438345e+02,1.53188345e+02,2.37757913e-04,3.97715772e-06,0.00000000e+00,0.00000000e+00,3.08612290e-05,2.00862686e-06,0.00000000e+00,0.00000000e+00,1.77296879e-01,2.05178444e-03,1.16579339e+03,1.90456436e+01,2.68619144e-04,4.67411794e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.53538370e+02,1.53288370e+02,2.39491142e-04,3.92161632e-06,0.00000000e+00,0.00000000e+00,2.86714870e-05,1.68282458e-06,0.00000000e+00,0.00000000e+00,1.77576317e-01,2.18669850e-03,1.17415138e+03,1.88477559e+01,2.68162630e-04,4.35792305e-06,0.00000000e+00,0.00000000e+00,4.07042000e+00,1.37365041e-02
