r_cm,depth_cm,pb_n2n,nXt
2.21054707e+01,2.18554707e+01,9.55125462e-04,1.17433930e-03
2.22054957e+01,2.19554957e+01,9.50642728e-04,1.17533237e-03
2.23055208e+01,2.20555208e+01,9.41083935e-04,1.17445989e-03
2.24055458e+01,2.21555458e+01,9.37505789e-04,1.17657027e-03
2.25055709e+01,2.22555709e+01,9.28960548e-04,1.18074542e-03
2.26055959e+01,2.23555959e+01,9.17379748e-04,1.18371879e-03
2.27056209e+01,2.24556209e+01,9.16234027e-04,1.18720071e-03
2.28056460e+01,2.25556460e+01,9.07295623e-04,1.19076697e-03
2.29056710e+01,2.26556710e+01,8.92743221e-04,1.19043206e-03
2.30056960e+01,2.27556960e+01,8.83773909e-04,1.19372450e-03
2.31057211e+01,2.28557211e+01,8.79133006e-04,1.19817348e-03
2.32057461e+01,2.29557461e+01,8.76634940e-04,1.20030282e-03
2.33057712e+01,2.30557712e+01,8.70098728e-04,1.20800478e-03
2.34057962e+01,2.31557962e+01,8.55711193e-04,1.21141977e-03
2.35058212e+01,2.32558212e+01,8.52092633e-04,1.21155610e-03
2.36058463e+01,2.33558463e+01,8.42822063e-04,1.21466452e-03
2.37058713e+01,2.34558713e+01,8.38288377e-04,1.21246851e-03
2.38058963e+01,2.35558963e+01,8.32067823e-04,1.21608821e-03
2.39059214e+01,2.36559214e+01,8.25491020e-04,1.21918180e-03
2.40059464e+01,2.37559464e+01,8.13539114e-04,1.21793447e-03
2.41059715e+01,2.38559715e+01,8.01660227e-04,1.21969278e-03
2.42059965e+01,2.39559965e+01,7.99564545e-04,1.22513811e-03
2.43060215e+01,2.40560215e+01,7.91594026e-04,1.23050293e-03
2.44060466e+01,2.41560466e+01,7.81304074e-04,1.23294376e-03
2.45060716e+01,2.42560716e+01,7.74469792e-04,1.23107255e-03
2.46060966e+01,2.43560966e+01,7.69302450e-04,1.23396772e-03
2.47061217e+01,2.44561217e+01,7.62904350e-04,1.23644883e-03
2.48061467e+01,2.45561467e+01,7.53495166e-04,1.23648046e-03
2.49061718e+01,2.46561718e+01,7.45236866e-04,1.24163759e-03
2.50061968e+01,2.47561968e+01,7.38874156e-04,1.24550600e-03
2.51062218e+01,2.48562218e+01,7.27822500e-04,1.24581543e-03
2.52062469e+01,2.49562469e+01,7.24341074e-04,1.24848468e-03
2.53062719e+01,2.50562719e+01,7.17436968e-04,1.24806193e-03
2.54062969e+01,2.51562969e+01,7.10548136e-04,1.25105103e-03
2.55063220e+01,2.52563220e+01,7.00236616e-04,1.25061810e-03
2.56063470e+01,2.53563470e+01,6.91083192e-04,1.25494389e-03
2.57063721e+01,2.54563721e+01,6.90473859e-04,1.25520617e-03
2.58063971e+01,2.55563971e+01,6.86677957e-04,1.25972360e-03
2.59064221e+01,2.56564221e+01,6.85826999e-04,1.26365192e-03
2.60064472e+01,2.57564472e+01,6.78809050e-04,1.26670197e-03
2.61064722e+01,2.58564722e+01,6.69760371e-04,1.27105000e-03
2.62064972e+01,2.59564972e+01,6.64834349e-04,1.27133323e-03
2.63065223e+01,2.60565223e+01,6.61267159e-04,1.27421194e-03
2.64065473e+01,2.61565473e+01,6.54698822e-04,1.27527448e-03
2.65065724e+01,2.62565724e+01,6.48593096e-04,1.28486173e-03
2.66065974e+01,2.63565974e+01,6.38608751e-04,1.28763893e-03
2.67066224e+01,2.64566224e+01,6.29308774e-04,1.28703169e-03
2.68066475e+01,2.65566475e+01,6.25296722e-04,1.28757320e-03
2.69066725e+01,2.66566725e+01,6.15704801e-04,1.29089881e-03
2.70066975e+01,2.67566975e+01,6.07204513e-04,1.29484969e-03
2.71067226e+01,2.68567226e+01,6.01979554e-04,1.29508848e-03
2.72067476e+01,2.69567476e+01,5.98553771e-04,1.29663531e-03
2.73067727e+01,2.70567727e+01,5.99083184e-04,1.29898566e-03
2.74067977e+01,2.71567977e+01,5.95845927e-04,1.30065038e-03
2.75068227e+01,2.72568227e+01,5.96128284e-04,1.30745699e-03
2.76068478e+01,2.73568478e+01,5.82781898e-04,1.30496782e-03
2.77068728e+01,2.74568728e+01,5.81770452e-04,1.30650597e-03
2.78068978e+01,2.75568978e+01,5.75576657e-04,1.30611262e-03
2.79069229e+01,2.76569229e+01,5.68304377e-04,1.31088076e-03
2.80069479e+01,2.77569479e+01,5.73809153e-04,1.31161034e-03
2.81069730e+01,2.78569730e+01,5.62322475e-04,1.31479352e-03
2.82069980e+01,2.79569980e+01,5.56552425e-04,1.31517119e-03
2.83070230e+01,2.80570230e+01,5.54165488e-04,1.31790290e-03
2.84070481e+01,2.81570481e+01,5.49230508e-04,1.31747549e-03
2.85070731e+01,2.82570731e+01,5.48585064e-04,1.32089916e-03
2.86070981e+01,2.83570981e+01,5.43527183e-04,1.32140435e-03
2.87071232e+01,2.84571232e+01,5.41285072e-04,1.32489468e-03
