r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_local_mean,heating_local_std,fission_q_recoverable_mean,fission_q_recoverable_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
1.88247058e+02,1.87997058e+02,4.05489525e-05,1.50290644e-06,0.00000000e+00,0.00000000e+00,4.70247148e-06,7.07964667e-07,0.00000000e+00,0.00000000e+00,3.05885896e-02,7.70526762e-04,2.26344199e+02,9.54425181e+00,0.00000000e+00,0.00000000e+00,4.52514243e-05,1.83497613e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.88347083e+02,1.88097083e+02,3.99770951e-05,1.48482558e-06,0.00000000e+00,0.00000000e+00,4.23998550e-06,6.31796816e-07,0.00000000e+00,0.00000000e+00,3.01383493e-02,7.40834273e-04,2.20421756e+02,8.92752144e+00,0.00000000e+00,0.00000000e+00,4.42170809e-05,1.74469986e-06,0.00000000e+00,0.00000000e+00,1.79581000e+00,8.70149987e-03
1.88447108e+02,1.88197108e+02,4.05906017e-05,1.39303993e-06,0.00000000e+00,0.00000000e+00,3.94828481e-06,3.75440377e-07,0.00000000e+00,0.00000000e+00,3.06385410e-02,7.61307051e-04,2.21355582e+02,7.74406851e+00,0.00000000e+00,0.00000000e+00,4.45388868e-05,1.56339186e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.88547133e+02,1.88297133e+02,4.00003885e-05,1.37239583e-06,0.00000000e+00,0.00000000e+00,4.03242091e-06,3.86227839e-07,0.00000000e+00,0.00000000e+00,3.03144118e-02,7.64391545e-04,2.18816722e+02,7.59300186e+00,0.00000000e+00,0.00000000e+00,4.40328097e-05,1.53730822e-06,0.00000000e+00,0.00000000e+00,1.79276000e+00,8.71068217e-03
1.88647158e+02,1.88397158e+02,4.00452806e-05,1.45385676e-06,0.00000000e+00,0.00000000e+00,4.06289467e-06,4.17890113e-07,0.00000000e+00,0.00000000e+00,2.99498150e-02,7.37200408e-04,2.19012785e+02,8.11467020e+00,0.00000000e+00,0.00000000e+00,4.41081755e-05,1.63084010e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.88747183e+02,1.88497183e+02,3.93953980e-05,1.46664768e-06,0.00000000e+00,0.00000000e+00,3.79640309e-06,3.76135842e-07,0.00000000e+00,0.00000000e+00,2.96584654e-02,7.51085173e-04,2.14448216e+02,8.03319646e+00,0.00000000e+00,0.00000000e+00,4.31918013e-05,1.61622754e-06,0.00000000e+00,0.00000000e+00,1.78746000e+00,8.58090928e-03
1.88847208e+02,1.88597208e+02,3.93537474e-05,1.44632871e-06,0.00000000e+00,0.00000000e+00,3.69335785e-06,3.60751678e-07,0.00000000e+00,0.00000000e+00,2.95215291e-02,7.67438104e-04,2.13649351e+02,7.78107362e+00,0.00000000e+00,0.00000000e+00,4.30471055e-05,1.56245648e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.88947233e+02,1.88697233e+02,3.82465934e-05,1.29072207e-06,0.00000000e+00,0.00000000e+00,3.57928083e-06,3.72851939e-07,0.00000000e+00,0.00000000e+00,2.88035727e-02,7.07017733e-04,2.07910509e+02,7.08502281e+00,0.00000000e+00,0.00000000e+00,4.18258745e-05,1.39998538e-06,0.00000000e+00,0.00000000e+00,1.78396000e+00,8.60102085e-03
1.89047258e+02,1.88797258e+02,3.83409362e-05,1.31852381e-06,0.00000000e+00,0.00000000e+00,3.41434055e-06,3.61575639e-07,0.00000000e+00,0.00000000e+00,2.86597820e-02,7.18617557e-04,2.07456737e+02,7.32056491e+00,0.00000000e+00,0.00000000e+00,4.17552770e-05,1.44550722e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.89147283e+02,1.88897283e+02,3.85859615e-05,1.34155099e-06,0.00000000e+00,0.00000000e+00,3.68748986e-06,3.98180775e-07,0.00000000e+00,0.00000000e+00,2.88586689e-02,7.05577968e-04,2.10060012e+02,7.52229095e+00,0.00000000e+00,0.00000000e+00,4.22734516e-05,1.48260974e-06,0.00000000e+00,0.00000000e+00,1.78158000e+00,8.64152741e-03
